"State","totalScore","emotAndPhysRank","workEnvironRank","communityAndEnvironRank"
"Hawaii","68.2700","1","42","4"
"Utah","67.8400","18","13","2"
"Minnesota","67.2600","2","20","10"
"North Dakota","65.6200","6","7","6"
"California","63.1400","4","50","12"
"Idaho","63.0900","24","41","1"
"Maryland","61.7800","7","2","5"
"Iowa","61.0700","8","22","11"
"South Dakota","60.8000","14","36","8"
"Nebraska","59.1100","10","16","28"
"Wisconsin","58.8700","16","29","14"
"Connecticut","58.2400","9","6","18"
"New Jersey","58.1000","3","4","38"
"New York","57.3500","5","3","39"
"Virginia","57.3500","15","9","27"
"Massachusetts","56.8500","13","5","42"
"Washington","56.4400","29","11","9"
"Colorado","55.3800","19","25","46"
"Georgia","55.1500","25","28","7"
"North Carolina","53.6900","21","38","37"
"Arizona","52.9200","27","47","34"
"Texas","52.5600","11","26","49"
"Illinois","52.4700","12","21","44"
"New Hampshire","52.3700","23","8","31"
"Kansas","52.3000","22","37","36"
"Nevada","51.8000","40","44","3"
"Delaware","51.6700","17","1","45"
"Montana","51.0800","37","31","17"
"Florida","51.0100","20","10","47"
"Pennsylvania","50.5400","28","14","15"
"Rhode Island","50.4400","30","19","29"
"Indiana","50.2000","32","17","25"
"Maine","49.8100","36","15","30"
"Michigan","49.5200","34","27","20"
"Wyoming","48.9000","31","23","22"
"South Carolina","48.2600","38","43","13"
"Ohio","48.1900","35","32","16"
"Vermont","48.1800","26","12","48"
"Oregon","48.0500","43","39","24"
"Tennessee","46.1300","41","33","40"
"New Mexico","43.3500","39","51","35"
"Missouri","42.7600","45","40","21"
"Mississippi","41.6300","42","34","26"
"Kentucky","39.4200","48","24","19"
"Alabama","39.3500","46","35","43"
"Oklahoma","38.8900","47","48","33"
"Alaska","38.2100","33","49","50"
"Louisiana","37.1500","44","30","41"
"Arkansas","36.6100","50","46","23"
"West Virginia","33.4200","49","18","32"
