State,County,Male_Obesity,Female_Obesity,Male_Physical_Activity,Female_Physical_Activity
United States,,33.8,36.1,56.3,52.6
Alabama,,37.3,42.2,49.5,42.0
Alabama,Autauga,37.1,38.8,52.9,47.5
Alabama,Baldwin,33.5,33.9,54.1,49.6
Alabama,Barbour,41.5,51.6,44.9,35.8
Alabama,Bibb,40.7,45.2,42.7,37.4
Alabama,Blount,38.4,41.6,43.1,37.6
Alabama,Bullock,41.9,56.0,43.0,34.5
Alabama,Butler,39.8,50.3,48.0,37.4
Alabama,Calhoun,38.0,41.4,48.7,40.7
Alabama,Chambers,40.7,47.7,46.9,34.7
Alabama,Cherokee,39.5,41.7,44.8,40.8
Alabama,Chilton,41.8,44.3,43.9,38.2
Alabama,Choctaw,41.2,49.9,43.6,33.6
Alabama,Clarke,41.8,46.6,48.5,37.4
Alabama,Clay,39.2,45.4,44.1,39.0
Alabama,Cleburne,37.4,41.3,46.4,41.7
Alabama,Coffee,39.1,39.7,47.8,46.7
Alabama,Colbert,40.2,41.6,51.2,42.1
Alabama,Conecuh,40.6,49.5,44.5,33.5
Alabama,Coosa,41.6,48.4,45.6,38.4
Alabama,Covington,40.9,40.3,46.0,40.3
Alabama,Crenshaw,40.6,44.8,47.7,43.8
Alabama,Cullman,37.4,40.5,44.7,41.8
Alabama,Dale,39.1,44.1,55.0,44.2
Alabama,Dallas,40.0,56.2,44.2,35.5
Alabama,DeKalb,38.9,40.9,41.9,40.6
Alabama,Elmore,36.9,39.3,54.9,44.6
Alabama,Escambia,41.6,44.1,47.9,37.6
Alabama,Etowah,38.1,39.6,48.7,40.9
Alabama,Fayette,42.4,43.9,44.6,37.6
Alabama,Franklin,38.4,39.1,45.4,38.9
Alabama,Geneva,41.4,43.2,44.6,44.8
Alabama,Greene,43.8,58.0,42.8,32.6
Alabama,Hale,43.5,55.5,41.2,33.4
Alabama,Henry,40.8,47.4,50.3,42.8
Alabama,Houston,39.5,41.2,47.8,44.8
Alabama,Jackson,37.8,39.8,43.7,39.7
Alabama,Jefferson,33.5,43.8,49.8,41.9
Alabama,Lamar,40.3,38.3,46.4,38.0
Alabama,Lauderdale,34.9,38.8,47.1,42.7
Alabama,Lawrence,40.6,46.1,45.4,41.1
Alabama,Lee,36.3,39.5,57.9,49.3
Alabama,Limestone,39.1,40.9,50.4,41.5
Alabama,Lowndes,41.6,55.3,44.7,37.3
Alabama,Macon,39.9,53.9,48.0,38.6
Alabama,Madison,34.0,38.0,54.3,46.1
